description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm960	1	1		100	16	361	760		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		17	17	pr270	100		1001	1001	pr66	100		5	8	pr29	100		20	40																																																																0
cm961	1	1		100	16	361	782		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		18	18	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm962	1	1		100	16	361	805		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		19	19	pr270	100		1001	1001	pr113	100		20	30																																																																					0
cm963	1	1		100	16	361	827		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		20	20	pr270	100		1001	1001	pr55	100		20	30																																																																					0
cm964	1	1		100	16	361	850		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		21	21	pr270	100		1001	1001	pr108	100		20	30																																																																					0
cm965																	void																																																																																							0
cm966	1	1		100	16	361	865		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		22	22	pr270	100		1001	1001	pr55	100		20	20	pr29	100		80	120																																																																0
cm967	1	1		100	16	361	880		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		23	23	pr270	100		1001	1001	pr55	100		20	30	pr108	100		20	30																																																																0
cm968	1	1		100	16	361	895		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		24	24	pr270	100		1001	1001	pr92	100		1	1	pr29	100		50	70																																																																0
cm969	1	1		100	16	361	910		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		25	25	pr270	100		1001	1001	pr113	100		15	25	pr29	100		50	70																																																																0
cm970	1	1		100	16	361	925		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		26	26	pr270	100		1001	1001	pr15	100		250	350	pr29	100		80	120																																																																0
cm971	1	1		100	16	361	940		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		27	27	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm972	1	1		100	16	361	955		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		28	28	pr270	100		1001	1001	pr244	100		3	5	pr86	100		10	10																																																																0
cm973	1	1		100	16	361	970		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		29	29	pr270	100		1001	1001	pr246	100		3	5	pr86	100		10	10																																																																0
cm974	1	1		100	16	361	985		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		30	30	pr270	100		1001	1001	pr245	100		3	5	pr86	100		10	10																																																																0
cm975	1	1		100	16	361	1000		2	"weap,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		31	31	pr270	100		1001	1001	pr247	100		3	5	pr86	100		10	10																																																																0
cm976																	void																																																																																							0
cm977																	void																																																																																							0
cm978																	void																																																																																							0
cm979	1	1		100	16	361	295		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm980	1	1		100	16	361	340		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		15	25																																																																					0
cm981	1	1		100	16	361	385		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		20	30																																																																					0
cm982	1	1		100	16	361	430		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		30	35																																																																					0
cm983	1	1		100	16	361	475		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		30	35																																																																					0
cm984	1	1		100	16	361	520		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		30	35																																																																					0
cm985	1	1		100	16	361	565		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		30	35																																																																					0
cm986	1	1		100	16	361	610		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm987																	void																																																																																							0
cm988	1	1		100	16	361	640		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm989	1	1		100	16	361	670		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		42	42	pr270	100		1001	1001	pr85	100		10	10																																																																					0
cm990	1	1		100	16	361	700		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm991	1	1		100	16	361	730		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		44	44	pr270	100		1001	1001	pr76	100		10	15																																																																					0
cm992	1	1		100	16	361	760		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm993	1	1		100	16	361	790		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		46	46	pr270	100		1001	1001	pr3	100		6	10																																																																					0
cm994	1	1		100	16	361	820		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		47	47	pr270	100		1001	1001	pr6	100		6	10																																																																					0
cm995	1	1		100	16	361	850		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		48	48	pr270	100		1001	1001	pr242	100		1	1																																																																					0
cm996																	void																																																																																							0
cm997	1	1		100	16	361	869		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm998	1	1		100	16	361	888		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm999	1	1		100	16	361	907		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		15	20																																																																					0
cm1000	1	1		100	16	361	925		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm1001	1	1		100	16	361	944		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		10	15																																																																0
cm1002	1	1		100	16	361	963		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		10	15																																																																0
cm1003	1	1		100	16	361	982		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		10	15																																																																0
cm1004	1	1		100	16	361	1000		2	"tors,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		10	15																																																																0
cm1005																	void																																																																																							0
cm1006	1	1		100	16	361	295		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm1007	1	1		100	16	361	340		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		15	25																																																																					0
cm1008	1	1		100	16	361	385		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		20	30																																																																					0
cm1009	1	1		100	16	361	430		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		30	35																																																																					0
cm1010	1	1		100	16	361	475		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		30	35																																																																					0
cm1011	1	1		100	16	361	520		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		30	35																																																																					0
cm1012	1	1		100	16	361	565		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		30	35																																																																					0
cm1013	1	1		100	16	361	610		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm1014																	void																																																																																							0
cm1015	1	1		100	16	361	640		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm1016	1	1		100	16	361	670		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		42	42	pr270	100		1001	1001	pr85	100		10	10																																																																					0
cm1017	1	1		100	16	361	700		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm1018	1	1		100	16	361	730		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		44	44	pr270	100		1001	1001	pr76	100		10	15																																																																					0
cm1019	1	1		100	16	361	760		2	"tors,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
